Feature,Importance
type,0.100378014
sequence,0.09911119
ftyp_Minor Version,0.09894389
auth,0.08458992
ftyp_Major Brand,0.06390491
elst_Media Time,0.061094265
GOP,0.059232816
elst(2)_Media Time,0.05464333
mdhd_Language Code,0.054056913
tkhd_Width,0.05156951
mdhd_Timescale,0.044519324
sgpd,0.04107527
mvhd_Timescale,0.040269777
mdhd(2)_Timescale,0.038990352
mvhd_Create Time,0.032497507
free,0.019778064
meta,0.017525328
smta,0.016760414
stco(2),0.012147196
ctts,0.004917464
stco,0.0030140805
stss,0.0009804831
elst(5)_Rate,0.0
elst(5)_Media Time,0.0
elst(5)_Entries,0.0
elst(5)_Entry Count,0.0
tref(3),0.0
mdhd(5)_Timescale,0.0
mdhd(5)_Create Time,0.0
mdhd(5)_Modify Time,0.0
tkhd(5)_Width,0.0
mdhd(5)_Duration,0.0
mdhd(5)_Language Code,0.0
hdlr(9),0.0
gmhd(3),0.0
hdlr(10),0.0
dinf(5),0.0
tkhd(5)_Height,0.0
mvhd_Duration,0.0
tkhd(5)_Duration,0.0
hdlr(8),0.0
tref(2),0.0
mdhd(4)_Create Time,0.0
mdhd(4)_Modify Time,0.0
mdhd(4)_Timescale,0.0
mdhd(4)_Duration,0.0
mdhd(4)_Language Code,0.0
hdlr(7),0.0
gmhd(2),0.0
dinf(4),0.0
tkhd(5)_Modify Time,0.0
stsd(4)_Entry Count,0.0
stts(4)_Entry Count,0.0
stsc(4)_Entry Count,0.0
stsz(4)_Sample Size,0.0
stsz(4)_Sample Count,0.0
stco(4),0.0
stsd(5)_Entry Count,0.0
tkhd(5)_Create Time,0.0
tkhd(5)_Track ID,0.0
meta(2),0.0
stts(5)_Entry Count,0.0
tagc(3),0.0
sbgp(3),0.0
tgas,0.0
free(2),0.0
SDLN,0.0
smrd,0.0
co64_Entry Count,0.0
co64(2)_Entry Count,0.0
name(2),0.0
wide,0.0
elst_'Duration,0.0
elst(2)_'Duration,0.0
ftyp_Compatible Brands,0.0
vhdr,0.0
smme,0.0
skip,0.0
0,0.0
soct,0.0
sgpd(5),0.0
tagc(2),0.0
stsc(5)_Entry Count,0.0
tagc,0.0
stsz(5)_Sample Size,0.0
stsz(5)_Sample Count,0.0
stco(5),0.0
elst(4)_Media Time,0.0
cslg,0.0
sgpd(2),0.0
sbgp(2),0.0
sgpd(3),0.0
csgm,0.0
csgm(2),0.0
sgpd(4),0.0
tapt(2),0.0
vmhd(2),0.0
ctts(2),0.0
cslg(2),0.0
stss(2),0.0
sdtp(2),0.0
elst(4)_Rate,0.0
tkhd(4)_Create Time,0.0
elst(4)_Entries,0.0
stsc_Entry Count,0.0
stsz_Sample Count,0.0
tkhd(2)_Track ID,0.0
tkhd(2)_Create Time,0.0
tkhd(2)_Modify Time,0.0
tkhd(2)_Duration,0.0
tkhd(2)_Width,0.0
tkhd(2)_Height,0.0
elst(2)_Entry Count,0.0
elst(2)_Entries,0.0
elst(2)_Rate,0.0
mdhd(2)_Create Time,0.0
mdhd(2)_Modify Time,0.0
mdhd(2)_Duration,0.0
mdhd(2)_Language Code,0.0
hdlr(3),0.0
smhd,0.0
hdlr(4),0.0
stsz_Sample Size,0.0
stts_Entry Count,0.0
stsd(2)_Entry Count,0.0
stsd_Entry Count,0.0
mvhd_Preferred Volume,0.0
mvhd_Next Track ID,0.0
tkhd_Track ID,0.0
tkhd_Create Time,0.0
tkhd_Modify Time,0.0
tkhd_Duration,0.0
tkhd_Height,0.0
elst_Entry Count,0.0
elst_Entries,0.0
elst_Rate,0.0
mdhd_Create Time,0.0
mdhd_Modify Time,0.0
mdhd_Duration,0.0
hdlr,0.0
vmhd,0.0
hdlr(2),0.0
dinf,0.0
dinf(2),0.0
stts(2)_Entry Count,0.0
elst(4)_Entry Count,0.0
mdhd(3)_Modify Time,0.0
mdhd(3)_Duration,0.0
mdhd(3)_Language Code,0.0
hdlr(5),0.0
gmhd,0.0
hdlr(6),0.0
dinf(3),0.0
stsd(3)_Entry Count,0.0
stts(3)_Entry Count,0.0
stsc(3)_Entry Count,0.0
stsz(3)_Sample Size,0.0
stco(3),0.0
tkhd(4)_Track ID,0.0
mvhd_Preferred Rate,0.0
tkhd(4)_Modify Time,0.0
tkhd(4)_Duration,0.0
tkhd(4)_Width,0.0
tkhd(4)_Height,0.0
mdhd(3)_Timescale,0.0
mdhd(3)_Create Time,0.0
stsc(2)_Entry Count,0.0
tref,0.0
stsz(2)_Sample Size,0.0
stsz(2)_Sample Count,0.0
sbgp,0.0
SPS,0.0
mvhd_Modify Time,0.0
tapt,0.0
sdtp,0.0
tkhd(3)_Track ID,0.0
tkhd(3)_Create Time,0.0
tkhd(3)_Modify Time,0.0
tkhd(3)_Duration,0.0
tkhd(3)_Width,0.0
tkhd(3)_Height,0.0
elst(3)_Entry Count,0.0
elst(3)_Entries,0.0
elst(3)_Media Time,0.0
elst(3)_Rate,0.0
stsz(3)_Sample Count,0.0
